n_int_features,n_float_features,n_string_features,n_datetime_features,n_unkown_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,file_type,is_file_structured,is_file_semi_structured,is_file_unstructured,encoding,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,time_diff_current_and_last_update,num_pii_entities,profiler_sample_size,ref_no_slash
6,0,0,0,0,7,8,1,1,csv,1,0,0,utf-8,0,0,1,15,15,225,0.8464106396277458,0.04300920372860677,0.27143815272587907,15.422222222222224,0.0,0.0,0.0,0.0,0.0,0.6295082997161086,0.0,0.6294476098465671,0,3.375,10437,szymonjanowski_internet-articles-data-with-users-engagement
2,6,0,0,0,11,1,1,1,csv,1,0,0,utf-8,1,0,1,12,12,144,0.9997511741469939,0.024188899141662664,0.005360123583506993,3.590277777777778,1744.1097907324088,-1.0608311927943885,8.6297432572014,3.271106553238376,0.75,0.8003199030773437,0.05132015937552208,0.8003116045579478,0,2.7720000000000002,96453,budincsevity_szeged-weather
5,20,0,0,0,3,31,1,0,csv,1,0,0,latin1,0,0,1,34,34,1156,0.7298587239537343,0.06360866379618364,0.06989247311827956,0.08304498269896192,477.52736945032905,0.7446930120256837,14.279095280032216,6.654937462759148,0.8,0.8615611939474496,0.08616479999999999,0.856868217397038,0,4.021505376344086,186,lewisduncan93_the-economic-freedom-index
1,0,0,0,0,5,7,1,1,csv,1,0,0,utf-8,1,0,1,12,12,144,0.7675284312010611,0.0081145584725537,0.02433206106870229,0.7222222222222222,0.0,0.0,0.0,0.0,0.0,0.5326820350450087,0.0,0.5324277715437938,0,1.6440000000000001,2096,ruchi798_source-based-news-classification
0,0,0,0,0,0,1,1,0,csv,1,0,0,utf-8,1,0,0,1,1,1,0.9728610855565777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2174,adnanzaidi_urdu-news-headlines
1,0,0,0,0,1,3,1,0,csv,1,0,0,utf-8,0,0,1,4,4,16,0.7533945271417478,0.0004988775255674732,0.005238214018458469,1.3125,0.0,0.0,0.0,0.0,0.0,0.49793951632778344,0.0,0.49781531091088954,0,0.124,4009,jruvika_fake-news-detection
0,51,0,0,0,4,51,1,1,csv,1,0,0,utf-8,1,1,1,55,55,3025,0.9661633866336596,0.10173795557345822,0.6953757225433526,8.776859504132231,7.372938767891289e25,8.156796039726366,78.8870934018903,1.4818519108119247e10,1.0,0.8991874313475028,0.3092286005240011,0.8986662976966553,0,335.2066155345497,1730,docstein_brics-world-bank-indicators
0,51,0,0,0,4,51,1,1,csv,1,0,0,utf-8,1,1,1,55,55,3025,0.949982770619923,0.10210354196633842,0.9440559440559441,13.749421487603309,6.022553942322683e18,17.097197433124098,341.17704884582446,11529.654358506124,1.0,0.8990161159681058,0.7102317889419307,0.8983854244488259,0,322.5713296498506,1430,docstein_brics-world-bank-indicators
0,51,0,0,0,4,51,1,1,csv,1,0,0,utf-8,1,1,1,55,55,3025,0.9631945265170373,0.10216424300948207,0.7568345323741007,12.875702479338843,8.529214517221697e15,8.0870102807653,77.72839156167403,0.0,1.0,0.8989876581223356,0.6928715273878716,0.8983387780860324,0,346.5282262654679,1390,docstein_brics-world-bank-indicators
0,51,0,0,0,4,51,1,1,csv,1,0,0,utf-8,1,1,1,55,55,3025,0.9216760118477624,0.10356648003619501,0.9680473372781065,8.305454545454547,7.2570494788651e21,6.744861278609598,59.05657456210065,0.0,1.0,0.8983292245227981,0.8165619760589531,0.8972603518588215,0,186.5830562492218,845,docstein_brics-world-bank-indicators
0,51,0,0,0,4,51,1,1,csv,1,0,0,utf-8,1,1,1,55,55,3025,0.9564389559955624,0.1018795036932493,0.983125,18.11702479338843,9.709882642089416e23,12.030691890924363,210.56452190738327,45416784.018069044,1.0,0.8991211172988013,0.9453772016709158,0.8985575622303748,0,440.5811776161573,1600,docstein_brics-world-bank-indicators
1,1,0,0,0,5,1,1,1,csv,1,0,0,utf-8,1,0,1,6,6,36,0.9202459070723139,0.001742501190505122,0.30233526011560696,751.4444444444445,4.003795673808735e25,5.030345276931611,65.58436548437936,1682486100.7351284,0.0,0.9148523852555819,0.0315510925618937,0.9148417875169577,0,1.7940000000000003,86500,docstein_brics-world-bank-indicators
1,1,0,0,0,5,1,1,1,csv,1,0,0,utf-8,1,0,1,6,6,36,0.9027796383121233,0.001772415248725506,0.5823776223776224,1181.6666666666667,4.119947256123963e18,34.07381192740025,2770.954679201184,0.0,0.0,0.9146110836015158,0.053981477253749,0.914598260493752,0,1.278,71500,docstein_brics-world-bank-indicators
1,1,0,0,0,5,1,1,1,csv,1,0,0,utf-8,1,0,1,6,6,36,0.8092996555683123,0.001891906388270357,0.5876923076923077,714.7222222222222,5.590029380228964e21,8.242164777324447,153.91024577901354,0.0,0.0,0.9136458467819464,0.062887594498924,0.9136241321676337,0,1.158,42250,docstein_brics-world-bank-indicators
6,2,0,3,0,16,10,1,4,csv,1,0,0,latin1,0,0,1,26,26,676,0.8167772054043458,0.02546824918940889,1.0,117.01331360946747,0.004857252492239648,-1.0413388027963384,5.810620695163044,0.00006662773773700359,0.25,0.41398872389511693,0.005118,0.41306648838928656,0,41.366,20050,crowdflower_twitter-user-gender-classification
1,0,0,0,0,0,2,1,1,csv,1,0,0,utf-8,0,0,0,2,2,4,0.9689771471768331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.108,17197,arkhoshghalb_twitter-sentiment-analysis-hatred-speech
