,folder_num,ref_no_slash,file_path,exception_str
0,7,docstein_brics-world-bank-indicators,../datasets\docstein_brics-world-bank-indicators\BRICS Development Indicators\HealthAndPoverty_Data.csv,"Traceback (most recent call last):
  File ""D:\meng-code\kaggle_data\attribute_extraction\attributes.py"", line 509, in extract_file_attributes_to_df
    report, sample_size = create_profiler_report(data, profiler_options)
  File ""D:\meng-code\kaggle_data\attribute_extraction\attributes.py"", line 337, in create_profiler_report
    sample_size = min(len(data.data), 500000)
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\base_data.py"", line 225, in __getattribute__
    returned = object.__getattribute__(self, name)
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\base_data.py"", line 70, in data
    self._load_data()
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\structured_mixins.py"", line 60, in _load_data
    self._data = self._load_data_from_file(self.input_file_path)
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\csv_data.py"", line 597, in _load_data_from_file
    return data_utils.read_csv_df(
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\data_utils.py"", line 324, in read_csv_df
    data = fo.read()
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\io\parsers\readers.py"", line 1778, in read
    ) = self._engine.read(  # type: ignore[attr-defined]
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\io\parsers\c_parser_wrapper.py"", line 230, in read
    chunks = self._reader.read_low_memory(nrows)
  File ""pandas\_libs\parsers.pyx"", line 808, in pandas._libs.parsers.TextReader.read_low_memory
  File ""pandas\_libs\parsers.pyx"", line 866, in pandas._libs.parsers.TextReader._read_rows
  File ""pandas\_libs\parsers.pyx"", line 852, in pandas._libs.parsers.TextReader._tokenize_rows
  File ""pandas\_libs\parsers.pyx"", line 1973, in pandas._libs.parsers.raise_parser_error
pandas.errors.ParserError: Error tokenizing data. C error: Expected 1 fields in line 2, saw 9

"
1,7,docstein_brics-world-bank-indicators,../datasets\docstein_brics-world-bank-indicators\BRICS Development Indicators\PublicSector_Indicators.csv,"Traceback (most recent call last):
  File ""D:\meng-code\kaggle_data\attribute_extraction\attributes.py"", line 509, in extract_file_attributes_to_df
    report, sample_size = create_profiler_report(data, profiler_options)
  File ""D:\meng-code\kaggle_data\attribute_extraction\attributes.py"", line 337, in create_profiler_report
    sample_size = min(len(data.data), 500000)
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\base_data.py"", line 225, in __getattribute__
    returned = object.__getattribute__(self, name)
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\base_data.py"", line 70, in data
    self._load_data()
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\structured_mixins.py"", line 60, in _load_data
    self._data = self._load_data_from_file(self.input_file_path)
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\csv_data.py"", line 597, in _load_data_from_file
    return data_utils.read_csv_df(
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\data_utils.py"", line 324, in read_csv_df
    data = fo.read()
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\io\parsers\readers.py"", line 1778, in read
    ) = self._engine.read(  # type: ignore[attr-defined]
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\io\parsers\c_parser_wrapper.py"", line 230, in read
    chunks = self._reader.read_low_memory(nrows)
  File ""pandas\_libs\parsers.pyx"", line 808, in pandas._libs.parsers.TextReader.read_low_memory
  File ""pandas\_libs\parsers.pyx"", line 866, in pandas._libs.parsers.TextReader._read_rows
  File ""pandas\_libs\parsers.pyx"", line 852, in pandas._libs.parsers.TextReader._tokenize_rows
  File ""pandas\_libs\parsers.pyx"", line 1973, in pandas._libs.parsers.raise_parser_error
pandas.errors.ParserError: Error tokenizing data. C error: Expected 1 fields in line 2, saw 12

"
2,23,jealousleopard_goodreadsbooks,../datasets\jealousleopard_goodreadsbooks\books.csv,"Traceback (most recent call last):
  File ""D:\meng-code\kaggle_data\attribute_extraction\attributes.py"", line 509, in extract_file_attributes_to_df
    report, sample_size = create_profiler_report(data, profiler_options)
  File ""D:\meng-code\kaggle_data\attribute_extraction\attributes.py"", line 337, in create_profiler_report
    sample_size = min(len(data.data), 500000)
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\base_data.py"", line 225, in __getattribute__
    returned = object.__getattribute__(self, name)
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\base_data.py"", line 70, in data
    self._load_data()
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\structured_mixins.py"", line 60, in _load_data
    self._data = self._load_data_from_file(self.input_file_path)
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\csv_data.py"", line 597, in _load_data_from_file
    return data_utils.read_csv_df(
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\data_utils.py"", line 324, in read_csv_df
    data = fo.read()
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\io\parsers\readers.py"", line 1778, in read
    ) = self._engine.read(  # type: ignore[attr-defined]
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\io\parsers\c_parser_wrapper.py"", line 230, in read
    chunks = self._reader.read_low_memory(nrows)
  File ""pandas\_libs\parsers.pyx"", line 808, in pandas._libs.parsers.TextReader.read_low_memory
  File ""pandas\_libs\parsers.pyx"", line 866, in pandas._libs.parsers.TextReader._read_rows
  File ""pandas\_libs\parsers.pyx"", line 852, in pandas._libs.parsers.TextReader._tokenize_rows
  File ""pandas\_libs\parsers.pyx"", line 1973, in pandas._libs.parsers.raise_parser_error
pandas.errors.ParserError: Error tokenizing data. C error: Expected 12 fields in line 3350, saw 13

"
3,109,irfanasrullah_groceries,../datasets\irfanasrullah_groceries\groceries.csv,"Traceback (most recent call last):
  File ""D:\meng-code\kaggle_data\attribute_extraction\attributes.py"", line 509, in extract_file_attributes_to_df
    report, sample_size = create_profiler_report(data, profiler_options)
  File ""D:\meng-code\kaggle_data\attribute_extraction\attributes.py"", line 337, in create_profiler_report
    sample_size = min(len(data.data), 500000)
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\base_data.py"", line 225, in __getattribute__
    returned = object.__getattribute__(self, name)
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\base_data.py"", line 70, in data
    self._load_data()
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\structured_mixins.py"", line 60, in _load_data
    self._data = self._load_data_from_file(self.input_file_path)
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\csv_data.py"", line 597, in _load_data_from_file
    return data_utils.read_csv_df(
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\data_utils.py"", line 324, in read_csv_df
    data = fo.read()
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\io\parsers\readers.py"", line 1778, in read
    ) = self._engine.read(  # type: ignore[attr-defined]
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\io\parsers\c_parser_wrapper.py"", line 230, in read
    chunks = self._reader.read_low_memory(nrows)
  File ""pandas\_libs\parsers.pyx"", line 808, in pandas._libs.parsers.TextReader.read_low_memory
  File ""pandas\_libs\parsers.pyx"", line 866, in pandas._libs.parsers.TextReader._read_rows
  File ""pandas\_libs\parsers.pyx"", line 852, in pandas._libs.parsers.TextReader._tokenize_rows
  File ""pandas\_libs\parsers.pyx"", line 1973, in pandas._libs.parsers.raise_parser_error
pandas.errors.ParserError: Error tokenizing data. C error: Expected 4 fields in line 6, saw 5

"
4,117,devorvant_economic-calendar,../datasets\devorvant_economic-calendar\D2011-13.xls,"Traceback (most recent call last):
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\compat\_optional.py"", line 141, in import_optional_dependency
    module = importlib.import_module(name)
  File ""C:\ProgramData\Anaconda3\lib\importlib\__init__.py"", line 127, in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
  File ""<frozen importlib._bootstrap>"", line 1030, in _gcd_import
  File ""<frozen importlib._bootstrap>"", line 1007, in _find_and_load
  File ""<frozen importlib._bootstrap>"", line 984, in _find_and_load_unlocked
ModuleNotFoundError: No module named 'xlrd'

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""D:\meng-code\kaggle_data\attribute_extraction\attributes.py"", line 465, in load_data_from_file
    data = pd.read_excel(file_path)
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\util\_decorators.py"", line 211, in wrapper
    return func(*args, **kwargs)
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\util\_decorators.py"", line 331, in wrapper
    return func(*args, **kwargs)
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\io\excel\_base.py"", line 482, in read_excel
    io = ExcelFile(io, storage_options=storage_options, engine=engine)
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\io\excel\_base.py"", line 1695, in __init__
    self._reader = self._engines[engine](self._io, storage_options=storage_options)
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\io\excel\_xlrd.py"", line 34, in __init__
    import_optional_dependency(""xlrd"", extra=err_msg)
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\compat\_optional.py"", line 144, in import_optional_dependency
    raise ImportError(msg)
ImportError: Missing optional dependency 'xlrd'. Install xlrd >= 1.0.0 for Excel support Use pip or conda to install xlrd.

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""D:\meng-code\kaggle_data\attribute_extraction\attributes.py"", line 501, in extract_file_attributes_to_df
    data, encoding = load_data_from_file(file)
  File ""D:\meng-code\kaggle_data\attribute_extraction\attributes.py"", line 469, in load_data_from_file
    print(""Failed to read excel file '%s'. Got exception: %s"" % (file_path, encoding, str(e)))
TypeError: not all arguments converted during string formatting
"
5,117,devorvant_economic-calendar,../datasets\devorvant_economic-calendar\D2014-18.xls,"Traceback (most recent call last):
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\compat\_optional.py"", line 141, in import_optional_dependency
    module = importlib.import_module(name)
  File ""C:\ProgramData\Anaconda3\lib\importlib\__init__.py"", line 127, in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
  File ""<frozen importlib._bootstrap>"", line 1030, in _gcd_import
  File ""<frozen importlib._bootstrap>"", line 1007, in _find_and_load
  File ""<frozen importlib._bootstrap>"", line 984, in _find_and_load_unlocked
ModuleNotFoundError: No module named 'xlrd'

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""D:\meng-code\kaggle_data\attribute_extraction\attributes.py"", line 465, in load_data_from_file
    data = pd.read_excel(file_path)
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\util\_decorators.py"", line 211, in wrapper
    return func(*args, **kwargs)
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\util\_decorators.py"", line 331, in wrapper
    return func(*args, **kwargs)
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\io\excel\_base.py"", line 482, in read_excel
    io = ExcelFile(io, storage_options=storage_options, engine=engine)
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\io\excel\_base.py"", line 1695, in __init__
    self._reader = self._engines[engine](self._io, storage_options=storage_options)
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\io\excel\_xlrd.py"", line 34, in __init__
    import_optional_dependency(""xlrd"", extra=err_msg)
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\compat\_optional.py"", line 144, in import_optional_dependency
    raise ImportError(msg)
ImportError: Missing optional dependency 'xlrd'. Install xlrd >= 1.0.0 for Excel support Use pip or conda to install xlrd.

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""D:\meng-code\kaggle_data\attribute_extraction\attributes.py"", line 501, in extract_file_attributes_to_df
    data, encoding = load_data_from_file(file)
  File ""D:\meng-code\kaggle_data\attribute_extraction\attributes.py"", line 469, in load_data_from_file
    print(""Failed to read excel file '%s'. Got exception: %s"" % (file_path, encoding, str(e)))
TypeError: not all arguments converted during string formatting
"
6,117,devorvant_economic-calendar,../datasets\devorvant_economic-calendar\D2019-21.xls,"Traceback (most recent call last):
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\compat\_optional.py"", line 141, in import_optional_dependency
    module = importlib.import_module(name)
  File ""C:\ProgramData\Anaconda3\lib\importlib\__init__.py"", line 127, in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
  File ""<frozen importlib._bootstrap>"", line 1030, in _gcd_import
  File ""<frozen importlib._bootstrap>"", line 1007, in _find_and_load
  File ""<frozen importlib._bootstrap>"", line 984, in _find_and_load_unlocked
ModuleNotFoundError: No module named 'xlrd'

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""D:\meng-code\kaggle_data\attribute_extraction\attributes.py"", line 465, in load_data_from_file
    data = pd.read_excel(file_path)
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\util\_decorators.py"", line 211, in wrapper
    return func(*args, **kwargs)
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\util\_decorators.py"", line 331, in wrapper
    return func(*args, **kwargs)
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\io\excel\_base.py"", line 482, in read_excel
    io = ExcelFile(io, storage_options=storage_options, engine=engine)
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\io\excel\_base.py"", line 1695, in __init__
    self._reader = self._engines[engine](self._io, storage_options=storage_options)
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\io\excel\_xlrd.py"", line 34, in __init__
    import_optional_dependency(""xlrd"", extra=err_msg)
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\compat\_optional.py"", line 144, in import_optional_dependency
    raise ImportError(msg)
ImportError: Missing optional dependency 'xlrd'. Install xlrd >= 1.0.0 for Excel support Use pip or conda to install xlrd.

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""D:\meng-code\kaggle_data\attribute_extraction\attributes.py"", line 501, in extract_file_attributes_to_df
    data, encoding = load_data_from_file(file)
  File ""D:\meng-code\kaggle_data\attribute_extraction\attributes.py"", line 469, in load_data_from_file
    print(""Failed to read excel file '%s'. Got exception: %s"" % (file_path, encoding, str(e)))
TypeError: not all arguments converted during string formatting
"
7,146,agatii_total-sale-2018-yearly-data-of-grocery-shop,../datasets\agatii_total-sale-2018-yearly-data-of-grocery-shop\ROTATION_of_products01.01.2018-09.01.2019.csv,"Traceback (most recent call last):
  File ""D:\meng-code\kaggle_data\attribute_extraction\attributes.py"", line 509, in extract_file_attributes_to_df
    report, sample_size = create_profiler_report(data, profiler_options)
  File ""D:\meng-code\kaggle_data\attribute_extraction\attributes.py"", line 337, in create_profiler_report
    sample_size = min(len(data.data), 500000)
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\base_data.py"", line 225, in __getattribute__
    returned = object.__getattribute__(self, name)
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\base_data.py"", line 70, in data
    self._load_data()
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\structured_mixins.py"", line 60, in _load_data
    self._data = self._load_data_from_file(self.input_file_path)
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\csv_data.py"", line 558, in _load_data_from_file
    data_as_str = data_utils.load_as_str_from_file(
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\data_utils.py"", line 641, in load_as_str_from_file
    sample_lines = csvfile.read(sample_size_bytes)
  File ""C:\ProgramData\Anaconda3\lib\codecs.py"", line 322, in decode
    (result, consumed) = self._buffer_decode(data, self.errors, final)
UnicodeDecodeError: 'utf-8' codec can't decode byte 0xd3 in position 597: invalid continuation byte
"
8,146,agatii_total-sale-2018-yearly-data-of-grocery-shop,../datasets\agatii_total-sale-2018-yearly-data-of-grocery-shop\SELL_1.csv,"Traceback (most recent call last):
  File ""D:\meng-code\kaggle_data\attribute_extraction\attributes.py"", line 509, in extract_file_attributes_to_df
    report, sample_size = create_profiler_report(data, profiler_options)
  File ""D:\meng-code\kaggle_data\attribute_extraction\attributes.py"", line 337, in create_profiler_report
    sample_size = min(len(data.data), 500000)
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\base_data.py"", line 225, in __getattribute__
    returned = object.__getattribute__(self, name)
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\base_data.py"", line 70, in data
    self._load_data()
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\structured_mixins.py"", line 60, in _load_data
    self._data = self._load_data_from_file(self.input_file_path)
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\csv_data.py"", line 558, in _load_data_from_file
    data_as_str = data_utils.load_as_str_from_file(
  File ""C:\Users\radue\AppData\Roaming\Python\Python39\site-packages\dataprofiler\data_readers\data_utils.py"", line 641, in load_as_str_from_file
    sample_lines = csvfile.read(sample_size_bytes)
  File ""C:\ProgramData\Anaconda3\lib\codecs.py"", line 322, in decode
    (result, consumed) = self._buffer_decode(data, self.errors, final)
UnicodeDecodeError: 'utf-8' codec can't decode byte 0xd3 in position 8006: invalid continuation byte
"
9,166,jpmiller_publicassistance,../datasets\jpmiller_publicassistance\SNAP_FY2010_FY2020\FY10.xls,"Traceback (most recent call last):
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\compat\_optional.py"", line 141, in import_optional_dependency
    module = importlib.import_module(name)
  File ""C:\ProgramData\Anaconda3\lib\importlib\__init__.py"", line 127, in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
  File ""<frozen importlib._bootstrap>"", line 1030, in _gcd_import
  File ""<frozen importlib._bootstrap>"", line 1007, in _find_and_load
  File ""<frozen importlib._bootstrap>"", line 984, in _find_and_load_unlocked
ModuleNotFoundError: No module named 'xlrd'

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""D:\meng-code\kaggle_data\attribute_extraction\attributes.py"", line 465, in load_data_from_file
    data = pd.read_excel(file_path)
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\util\_decorators.py"", line 211, in wrapper
    return func(*args, **kwargs)
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\util\_decorators.py"", line 331, in wrapper
    return func(*args, **kwargs)
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\io\excel\_base.py"", line 482, in read_excel
    io = ExcelFile(io, storage_options=storage_options, engine=engine)
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\io\excel\_base.py"", line 1695, in __init__
    self._reader = self._engines[engine](self._io, storage_options=storage_options)
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\io\excel\_xlrd.py"", line 34, in __init__
    import_optional_dependency(""xlrd"", extra=err_msg)
  File ""C:\ProgramData\Anaconda3\lib\site-packages\pandas\compat\_optional.py"", line 144, in import_optional_dependency
    raise ImportError(msg)
ImportError: Missing optional dependency 'xlrd'. Install xlrd >= 1.0.0 for Excel support Use pip or conda to install xlrd.

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""D:\meng-code\kaggle_data\attribute_extraction\attributes.py"", line 501, in extract_file_attributes_to_df
    data, encoding = load_data_from_file(file)
  File ""D:\meng-code\kaggle_data\attribute_extraction\attributes.py"", line 469, in load_data_from_file
    print(""Failed to read excel file '%s'. Got exception: %s"" % (file_path, encoding, str(e)))
TypeError: not all arguments converted during string formatting
"
