,n_int_features,n_float_features,n_string_features,n_datetime_features,n_unknown_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,num_pii_entities,proxy,n_bytes_total,since_last_update
0,21,13,0,0,0,18,16,1,2,0,0,0,34,34,1156,0.5741885625965998,0.042790085293949266,0.0,0.0,0.05824543629798769,0.2198517998686736,1.2879680856088558,0.07141706142428206,0.38235294117647056,0.5901926416928249,0.025943764705882357,0.5898885754168347,49.436,29.094197606983315,104468,176719618.24227142
1,3,0,0,1,0,2,2,1,1,0,0,0,4,4,16,0.6516209476309227,0.0015066500415627597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8449507552253775,0.0,0.8449331959827497,0.0,35.22075787689871,283801,67706311.24227142
2,3,0,0,0,0,7,1,1,0,1,0,0,8,8,64,0.3435483870967742,0.04137590520079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6408008203987868,0.0,0.6406531704401656,4.776,35.22075787689871,57196,15102679.242271423
3,3,0,0,1,0,10,1,1,1,0,0,1,11,11,121,1.0,0.004658979550389337,0.18005329272934906,4.347107438016528,0.0,0.0,0.0,0.0,0.0,0.6662593677258764,0.0,0.6659997885185577,0.0,35.21404340585173,102291,13180794.242271423
4,4,0,0,0,0,10,1,1,0,0,0,1,11,11,121,1.0,0.0015167272980958343,0.1738968765493307,13.074380165289256,0.0,0.0,0.0,0.0,0.0,0.6666938147912267,0.0,0.6666092652460245,0.0,35.21404340585173,102291,13180794.242271423
5,2,5,0,0,0,2,7,1,0,0,0,1,9,9,81,0.6564355981422765,0.00313,5e-06,0.024691358024691357,72.38691894328628,-2.7928792348536144,5305.241218110187,0.4332416789515974,0.7142857142857143,0.7364454916274581,0.047059014204039844,0.7364418094000033,1.665,35.19389999271081,7378081,40379341.24227142
6,8,4,0,0,0,7,9,1,0,0,0,1,16,16,256,0.5867542419266557,0.052096905679308254,0.0049261083743842365,0.00390625,7835.571096040913,-0.11968351905563572,0.44668957314038144,23.81595296717172,0.3333333333333333,0.579479987344581,0.04528675000000001,0.5766235340562236,17.182266009852217,35.17375657956989,6357,19240957.242271423
7,4,0,0,1,0,17,4,1,1,0,0,1,21,21,441,0.8865244524835586,0.0016029762446883487,1.0,426.43990929705217,0.0,0.0,0.0,0.0,0.0,0.5545944702274839,0.0,0.5545664479570003,42.0,29.04048183860753,2207555,39171164.24227142
8,0,6,0,1,0,2,6,1,2,0,0,0,8,8,64,0.6713143104193687,0.07684824902723736,0.0,0.0,0.46357443347906285,1.3390382485094774,30.46365674011849,0.2701057988987966,1.0,0.8258100675938045,0.038234912983333334,0.8255422951983429,2.824,35.160327637475945,200558,27013347.242271423
9,1,6,0,0,0,2,6,1,1,0,0,0,8,8,64,0.6616813025978777,0.07258507135016466,0.0,0.0,0.3987180726888649,0.05262338521731184,11.005926973524783,0.2517788589185331,0.8571428571428571,0.8307808337599468,0.029718069900000005,0.8305528478011733,11.056000000000001,35.160327637475945,200558,27013347.242271423
10,4,0,0,0,0,4,3,1,0,1,0,1,7,7,49,0.3056312538957461,0.03864278982092365,0.40999057492931196,8.877551020408164,0.0,0.0,0.0,0.0,0.0,0.5316513435171519,0.0,0.5311502583677484,4.1579999999999995,33.07785521179473,12446,87136647.24227142
11,1,0,0,0,0,1,1,1,2,0,0,0,2,2,4,1.0,2.559967232419425e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.996,35.10661186910016,2051639,12991489.242271423
12,11,4,0,0,0,41,2,1,1,0,0,0,43,43,1849,1.0,0.00020729490760079247,0.0,0.0,0.01615787262169288,0.15398041177554805,0.2596986130431679,0.05063819065517424,0.26666666666666666,0.5656578559707963,0.00735188806000432,0.565643375315036,106.554,35.10661186910016,2051639,12991489.242271423
13,12,4,0,0,0,42,2,1,1,0,0,0,44,44,1936,1.0,0.00013613104990767462,0.0,0.0,0.01511571107808686,0.13804028548817462,0.15430917596042526,0.047379191508525834,0.25,0.5549241887190559,0.007033786721194381,0.5549147177300346,108.89999999999996,35.10661186910016,2051639,12991489.242271423
14,29,30,0,0,0,80,1,1,4,0,0,1,81,81,6561,1.0,0.0192628357352955,1.0,65.62962962962962,418.8972373729251,14.202743133390237,1136.06630930406,1.5766475619455473,0.5084745762711864,0.37263091076600396,0.011979684183162852,0.37240458362329265,79.67342384105962,29.967572390821317,1158110,195557261.24227142
15,16,4,0,2,0,19,5,1,0,0,0,1,24,24,576,0.8260382916053018,0.007508517322242377,0.3136966126656848,1.8489583333333333,7.062660888902035,1.0688199512140681,25.16665728897608,0.545241888374673,0.2,0.5385324349613931,0.010941928055,0.53836695897074,24.528,35.05961057177135,100180,14078272.242271423
16,4,2,0,0,0,8,1,1,0,1,0,0,9,9,81,0.7529778470444173,0.02579873093621285,0.0,0.0,17.118489628781006,0.4161392090314573,3.7874932033209365,1.1230030691991353,0.3333333333333333,0.7075006222131119,0.0021753333333333334,0.7074612422386023,3.735,32.99728155923105,178475,31763292.242271423
