n_int_features,n_float_features,n_string_features,n_datetime_features,n_unknown_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,file_type,is_file_structured,is_file_semi_structured,is_file_unstructured,encoding,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,time_diff_current_and_last_update,num_pii_entities,profiler_sample_size,ref_no_slash
0,1,0,0,1,2,0,1,0,csv,1,0,0,utf-8,0,0,0,2,2,4,0.0,1.0,0.0,0.0,0.021424,-0.08229049181415174,-1.6936857507943741,0.15974999999999998,1.0,1.0,0.66,0.8000000000000002,0,0.4,5,blurredmachine_are-your-employees-burning-out
2,1,0,1,4,7,1,1,0,csv,1,0,0,utf-8,0,0,0,8,8,64,1.0,0.00570262390670554,0.0,0.0,1.221112272108829,-0.14331354156066067,0.04478210816602187,0.4329757324280148,0.3333333333333333,0.7217998465752068,0.0033333333333333335,0.721740924138752,0,2.064,12250,blurredmachine_are-your-employees-burning-out
2,2,0,1,4,8,1,1,0,csv,1,0,0,utf-8,0,0,1,9,9,81,1.0,0.0033310909372718457,0.18285714285714286,57.06172839506173,0.9321835801116077,-0.09628238327904907,-0.02196309184105827,0.3352610770174215,0.5,0.7550516331609931,0.004375,0.7550173001360042,0,2.412,22750,blurredmachine_are-your-employees-burning-out
4,0,0,0,1,0,5,1,1,csv,1,0,0,utf-8,0,0,0,5,5,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.805555555555555,36,anandhuh_covid19-india-statewise-vaccine-data
8,20,0,6,26,6,54,1,0,csv,1,0,0,utf-8,0,0,1,60,60,3600,0.6459475808694741,0.22633504159239456,1.0,1.8386111111111108,166915521.43790913,2.564935091450178,21.292685861603015,83.58933365218027,0.7142857142857143,0.8599085339004694,0.15248364405714288,0.8434764864417922,0,4.537139663736038,249,koryto_countryinfo
0,1,0,0,8,1,8,1,0,csv,1,0,0,utf-8,0,0,1,9,9,81,0.8870085995085997,0.15315315315315314,0.7297297297297297,1.037037037037037,9743.084235537188,1.5146856861818496,2.1989325792642873,52.201333333333345,1.0,0.7875511875511876,0.1878,0.7804561318074831,0,0.535053550146773,111,koryto_countryinfo
1,0,0,0,2,0,3,1,0,csv,1,0,0,utf-8,0,0,0,3,3,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,98,narendrageek_mental-health-faq-for-chatbot
2,0,0,0,1,1,2,1,2,csv,1,0,0,utf-8,0,0,0,3,3,9,0.9984487104905952,0.00019391118867558658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3480736861012759,0.0,0.34803993841016667,0,0.063,10314,gargmanas_sentimental-analysis-for-tweets
3,0,0,1,0,0,4,1,1,csv,1,0,0,utf-8,0,0,1,4,4,16,0.7685383642463856,0.0,0.06658739595719382,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,841,anandhuh_covid19-latest-data-kerala
0,2,0,0,1,0,3,1,1,csv,1,0,0,utf-8,0,0,1,3,3,9,0.9853479853479854,0.0,0.2288135593220339,6.0,7.630954115266869,-0.7650110184891659,0.6178368190197274,1.730705670500001,1.0,0.0,0.451651205,0.0,0,0.2033898305084746,118,zusmani_pakistan-corona-virus-citywise-data
3,0,0,1,3,7,0,1,0,csv,1,0,0,utf-8,1,0,0,7,7,49,0.0,0.04550344234079173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6570214543176475,0.0,0.6565267092466255,0,3.213,1328,zusmani_pakistan-corona-virus-citywise-data
3,0,0,1,3,7,0,1,0,csv,1,0,0,utf-8,0,0,1,7,7,49,0.0,0.048795702699175436,0.012035010940919038,0.22448979591836735,0.0,0.0,0.0,0.0,0.0,0.6662558657783523,0.0,0.6655260824766019,0,2.849015317286652,914,zusmani_pakistan-corona-virus-citywise-data
3,0,0,1,3,7,0,1,0,csv,1,0,0,utf-8,0,0,0,7,7,49,0.0,0.04498269896193772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6634820773229076,0.0,0.6629081308892376,0,2.947,1156,zusmani_pakistan-corona-virus-citywise-data
3,0,0,1,3,7,0,1,0,csv,1,0,0,utf-8,1,0,1,7,7,49,0.0,0.031563132364936075,0.012866333095067906,0.7346938775510204,0.0,0.0,0.0,0.0,0.0,0.6363168014258046,0.0,0.6360892642903145,0,4.109,2798,zusmani_pakistan-corona-virus-citywise-data
3,0,0,0,4,7,0,1,0,csv,1,0,0,utf-8,1,1,1,7,7,49,0.0,0.05073320455579706,0.0035294117647058825,0.3469387755102041,0.0,0.0,0.0,0.0,0.0,0.6622618294735317,0.0,0.6614804234800836,0,2.694214876033058,850,zusmani_pakistan-corona-virus-citywise-data
9,0,0,0,1,0,10,1,1,csv,1,0,0,utf-8,0,0,1,10,10,100,1.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,29.0,50,anandhuh_usa-statewise-latest-covid19-data
