n_int_features,n_float_features,n_string_features,n_datetime_features,n_unknown_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,file_type,is_file_structured,is_file_semi_structured,is_file_unstructured,encoding,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,time_diff_current_and_last_update,num_pii_entities,profiler_sample_size,num_sample_files,ref_no_slash
54,24,0,0,2,65,15,1,10,csv,1,0,0,utf-8,1,0,1,80,80,6400,0.26415919220709905,0.012290676923076917,0.0008,0.0625,NaN,NaN,NaN,30202.74698628634,0.3076923076923077,0.3549081782680488,0.03163502910384521,0.3549074684517203,0,67.27999999999997,500000,10,solarmainframe_ids-intrusion-csv
54,24,0,0,2,64,16,1,10,csv,1,0,0,utf-8,1,0,1,80,80,6400,0.4486909102824424,0.03392915624999999,0.004434,0.34640624999999997,NaN,NaN,NaN,380.9652005502861,0.3076923076923077,0.5136073650999803,0.03194370588993237,0.5136063378854561,0,200.72000000000008,500000,10,solarmainframe_ids-intrusion-csv
54,24,0,0,2,64,16,1,10,csv,1,0,0,utf-8,1,0,0,80,80,6400,0.41892687500000003,0.009534593749999995,0.0,0.0,5.339547721192225e11,21.05165456648093,10968.567848928036,290.3617857511598,0.3076923076923077,0.36594518263974035,0.020532636486615387,0.36594445074939286,0,247.5200000000001,500000,10,solarmainframe_ids-intrusion-csv
55,24,0,0,5,71,13,1,11,csv,1,0,0,utf-8,0,0,0,84,84,7056,0.6137138461538462,0.010608788732394363,0.0,0.0,8.755005853177739e12,13.165238891103153,2033.5180531550852,12671.451214472536,0.3037974683544304,0.372911064157903,0.019647457993607592,0.3729103183359366,0,333.90000000000003,500000,10,solarmainframe_ids-intrusion-csv
54,24,0,0,2,76,4,1,10,csv,1,0,0,utf-8,1,0,0,80,80,6400,0.3449725,0.016869289473684206,0.0,0.0,6.152451129487367e10,12.839602238444263,2526.360260316483,82.26812693332313,0.3076923076923077,0.4575988697326868,0.019511812368256408,0.4575979545349873,0,112.47999999999998,500000,10,solarmainframe_ids-intrusion-csv
54,24,0,0,2,63,17,1,10,csv,1,0,0,utf-8,1,0,1,80,80,6400,0.44609168100955016,0.03106422222222223,0.0034,0.265625,NaN,NaN,NaN,63897.15886066085,0.3076923076923077,0.4985838153419798,0.0326813373286445,0.4985828181745229,0,185.60000000000014,500000,10,solarmainframe_ids-intrusion-csv
54,24,0,0,2,63,17,1,10,csv,1,0,0,utf-8,1,0,1,80,80,6400,0.4415884927372207,0.031793523809523806,0.003752,0.29312499999999997,NaN,NaN,NaN,631.7269601272175,0.3076923076923077,0.4979269292403982,0.032761567930356485,0.4979259333867097,0,183.04,500000,10,solarmainframe_ids-intrusion-csv
0,0,0,0,80,65,15,1,0,csv,1,0,0,utf-8,1,0,1,80,80,6400,0.3502970620359597,0.030436676923076895,0.006516,0.5090625,0.0,0.0,0.0,0.0,0.0,0.5493866493694838,0.0,0.5493855505964246,0,157.36000000000007,500000,10,solarmainframe_ids-intrusion-csv
0,0,0,0,80,65,15,1,0,csv,1,0,0,utf-8,1,0,1,80,80,6400,0.3653655962303324,0.029240735255684318,0.005538693846734617,0.2865625,0.0,0.0,0.0,0.0,0.0,0.5359005045867039,0.0,0.5358988861630073,0,154.96,331125,10,solarmainframe_ids-intrusion-csv
54,24,0,0,2,69,11,1,10,csv,1,0,0,utf-8,1,0,1,80,80,6400,0.30939605347013033,0.02470704347826087,0.001502,0.11734375,NaN,NaN,NaN,97.17781129094573,0.3076923076923077,0.4775674463264291,0.022893376876794873,0.4775664911918269,0,82.31999999999998,500000,10,solarmainframe_ids-intrusion-csv
