id,Driving_License,Region_Code,Previously_Insured,Policy_Sales_Channel,Response,Female,Male,Age,Annual_Premium,Vintage,Vehicle_Age,No_vehicle_damage,Vehicle_Damage
35344,1,43.0,0,152.0,1,0.0,1.0,-0.955581144648635,0.5763977261859454,1.621258130506496,0.0,0.0,1.0
75825,1,28.0,0,156.0,1,0.0,1.0,-0.8266453028722219,12.214198126709919,1.5734519523488777,1.0,0.0,1.0
95694,1,3.0,0,124.0,1,0.0,1.0,0.3982451940037027,-1.6228533431482572,1.155147893469718,1.0,0.0,1.0
203794,1,15.0,0,160.0,0,0.0,1.0,-1.0200490655368415,0.16490957836012765,-1.11564556901715,0.0,0.0,1.0
118628,1,50.0,1,160.0,0,0.0,1.0,-1.2134528282014612,-1.6228533431482572,0.8324561909057945,0.0,1.0,0.0
86184,1,8.0,1,26.0,0,0.0,1.0,0.3337772731154961,0.4477750014525894,0.7248922900511534,1.0,1.0,0.0
70757,1,16.0,1,160.0,0,1.0,0.0,-1.2134528282014612,-0.24181476484593623,1.4658880514942365,0.0,0.0,1.0
82988,1,8.0,1,26.0,0,1.0,0.0,0.9139885611093551,0.5446777588397791,-1.557852716975119,1.0,1.0,0.0
174948,1,36.0,1,152.0,0,1.0,0.0,-0.8911132237604285,0.02873448044911298,-0.7092930546773948,0.0,1.0,0.0
137838,1,25.0,0,25.0,1,0.0,1.0,0.7205847984447354,-0.39390794160832376,1.430033417876023,1.0,0.0,1.0
273246,1,29.0,0,124.0,1,0.0,1.0,1.3007960864385943,-0.25982427011573767,-0.23123127310121203,1.0,0.0,1.0
137406,1,28.0,0,26.0,1,0.0,1.0,0.8495206402211485,3.652014560020002,1.2507602497849544,1.0,0.0,1.0
283282,1,15.0,0,26.0,1,1.0,0.0,0.14037351045087643,-0.21747288514255944,0.7846500127481763,1.0,0.0,1.0
232882,1,39.0,1,152.0,0,0.0,1.0,-0.6332415402076023,-0.052192102908414084,-1.199306380792982,0.0,1.0,0.0
58183,1,50.0,1,152.0,0,1.0,0.0,-1.0200490655368415,0.42407216871039916,1.0356324480756722,0.0,1.0,0.0
350154,1,46.0,0,152.0,0,1.0,0.0,-1.0845169864250481,-0.11754917848430636,0.5456191219600849,0.0,0.0,1.0
97254,1,41.0,1,152.0,0,0.0,1.0,-1.0845169864250481,-0.42051553326499813,1.286614883403168,0.0,1.0,0.0
328771,1,46.0,0,26.0,0,0.0,1.0,1.6231356908796273,0.6387338524907743,-0.2073281840224029,1.0,0.0,1.0
135312,1,29.0,0,26.0,1,1.0,0.0,0.9784564819975616,3.302049206002957,-0.6256322429015628,1.0,0.0,1.0
107444,1,29.0,1,152.0,0,1.0,0.0,-0.8911132237604285,0.8189450955453679,0.9997778144574585,0.0,1.0,0.0
147590,1,15.0,1,124.0,0,1.0,0.0,0.14037351045087643,-0.3808365264931453,-1.725174340526783,1.0,1.0,0.0
309150,1,21.0,0,26.0,0,1.0,0.0,0.9139885611093551,0.5311415822982831,-1.3068702816476232,1.0,0.0,1.0
217640,1,3.0,0,154.0,0,0.0,1.0,1.3007960864385943,-0.45885835093618826,-0.07586119408895266,1.0,0.0,1.0
245091,1,39.0,0,1.0,1,1.0,0.0,-0.7621773819840153,-1.6228533431482572,0.4978129438024666,0.0,1.0,0.0
336380,1,30.0,1,26.0,0,0.0,1.0,0.5916489566683223,-0.5508811133470446,-0.7092930546773948,1.0,1.0,0.0
269265,1,18.0,1,26.0,0,1.0,0.0,1.494199849103214,0.38526458961289156,-0.32684362941644857,1.0,1.0,0.0
174072,1,46.0,0,152.0,0,1.0,0.0,-1.0845169864250481,-0.06439209034924731,-0.4105044411922806,0.0,0.0,1.0
310789,1,45.0,1,152.0,0,0.0,1.0,-1.0200490655368415,0.6033538889123579,-1.6534650732903555,0.0,1.0,0.0
78687,1,28.0,0,26.0,0,0.0,1.0,1.494199849103214,0.9091088122509544,1.2388087052455499,1.0,0.0,1.0
299005,1,39.0,1,152.0,0,1.0,0.0,-0.31090193576656944,-1.6228533431482572,-0.06390964954954809,1.0,1.0,0.0
76665,1,28.0,0,26.0,1,1.0,0.0,0.3982451940037027,-1.6228533431482572,0.8563592799846036,1.0,0.0,1.0
253257,1,45.0,1,152.0,0,0.0,1.0,-0.8911132237604285,-0.17250721714634557,0.653183022814726,0.0,1.0,0.0
219917,1,2.0,1,152.0,0,1.0,0.0,0.5916489566683223,-0.38298604808986353,-1.701271251447974,1.0,1.0,0.0
228650,1,28.0,0,52.0,0,0.0,1.0,0.07590558956266988,0.8926678767949744,1.3583241506395956,1.0,0.0,1.0
223599,1,36.0,0,156.0,1,1.0,0.0,-0.18196609399015634,-1.6228533431482572,-1.6773681623691648,1.0,0.0,1.0
374009,1,12.0,1,26.0,0,0.0,1.0,2.0099432162088666,-0.16251484648052025,0.043654251305093025,1.0,1.0,0.0
76512,1,37.0,0,160.0,0,0.0,1.0,-1.1489849073132548,-1.6228533431482572,1.0236809035362675,0.0,0.0,1.0
239831,1,36.0,1,152.0,0,1.0,0.0,-0.955581144648635,0.01792877728723212,-0.2909889957982349,0.0,1.0,0.0
163093,1,48.0,0,124.0,0,0.0,1.0,0.07590558956266988,-1.6228533431482572,-0.23123127310121203,1.0,0.0,1.0
114871,1,10.0,0,26.0,1,0.0,1.0,-1.0200490655368415,-0.7459647220437968,1.6810158532035189,0.0,0.0,1.0
94372,1,41.0,0,154.0,1,1.0,0.0,1.4297319282150076,0.0011973659398036973,0.6651345673541306,1.0,0.0,1.0
175115,1,45.0,1,26.0,0,1.0,0.0,0.20484143133908297,-0.257384272627571,-1.5698042615145236,1.0,1.0,0.0
269807,1,30.0,1,160.0,0,0.0,1.0,-0.6977094610958088,-1.6228533431482572,0.4500067656448483,0.0,1.0,0.0
222658,1,28.0,1,52.0,0,0.0,1.0,0.14037351045087643,-1.6228533431482572,-0.25513436218002117,1.0,1.0,0.0
266499,1,18.0,0,124.0,1,1.0,0.0,0.5916489566683223,-0.25668713048809483,-1.1395486580959593,1.0,0.0,1.0
126108,1,28.0,0,125.0,0,1.0,0.0,2.396750741538106,0.27569708335855125,0.4022005874872301,1.0,0.0,1.0
243650,1,28.0,0,156.0,1,0.0,1.0,-0.8911132237604285,0.6717900089376033,-1.4622403606598826,0.0,0.0,1.0
209441,1,41.0,1,152.0,0,0.0,1.0,-0.7621773819840153,-0.03656449994848962,-1.4741919051992871,0.0,1.0,0.0
30973,1,6.0,1,152.0,0,1.0,0.0,-1.0200490655368415,-0.32535563122649896,-0.016103471391929813,0.0,1.0,0.0
229178,1,31.0,0,157.0,0,0.0,1.0,-0.18196609399015634,-1.6228533431482572,0.24683050847497068,1.0,0.0,1.0
195028,1,39.0,0,152.0,0,1.0,0.0,-1.0845169864250481,0.8188289051887886,-0.4702621638893034,0.0,1.0,0.0
367488,1,28.0,0,55.0,0,0.0,1.0,1.1073923237739747,0.27151423052169416,-1.5817558060539283,1.0,0.0,1.0
104439,1,22.0,1,152.0,0,0.0,1.0,-0.6977094610958088,0.20180001657407573,-1.6295619842115465,0.0,1.0,0.0
264109,1,28.0,0,152.0,0,1.0,0.0,0.9784564819975616,1.0118791826454019,1.6093065859670914,1.0,0.0,1.0
260278,1,28.0,0,163.0,0,0.0,1.0,0.4627131148919092,0.020368774775398765,-0.9602754900048907,1.0,0.0,1.0
189153,1,28.0,0,122.0,1,0.0,1.0,0.9784564819975616,1.1076781316450877,1.3344210615607863,1.0,0.0,1.0
269694,1,28.0,0,122.0,0,1.0,0.0,0.5271810357801158,0.48199306146521215,1.430033417876023,1.0,1.0,0.0
189300,1,37.0,0,26.0,0,0.0,1.0,2.203346978873486,-0.9103740766035969,-0.482213708428708,1.0,0.0,1.0
176138,1,46.0,1,160.0,0,0.0,1.0,-1.1489849073132548,0.3869493497832924,-0.5180683420469216,0.0,1.0,0.0
142541,1,28.0,0,26.0,1,1.0,0.0,0.4627131148919092,1.060272466160707,0.5456191219600849,2.0,0.0,1.0
307984,1,3.0,0,163.0,0,1.0,0.0,0.07590558956266988,0.03820399451033115,0.7487953791299625,1.0,0.0,1.0
35911,1,33.0,0,163.0,1,0.0,1.0,-0.2464340148783629,-1.6228533431482572,-0.04000656047073895,1.0,0.0,1.0
161218,1,19.0,0,152.0,1,0.0,1.0,-0.18196609399015634,-0.27440615986644784,-1.6056588951327373,1.0,0.0,1.0
191491,1,21.0,1,152.0,0,1.0,0.0,-0.955581144648635,-0.29764423118232064,-0.11171582770716636,0.0,1.0,0.0
19063,1,14.0,1,152.0,0,0.0,1.0,-0.8911132237604285,-0.8922483809772161,-1.3188218261870277,0.0,1.0,0.0
344006,1,9.0,0,156.0,1,1.0,0.0,-0.05303025221374324,0.19244669286943694,0.6770861118935352,1.0,0.0,1.0
150213,1,29.0,1,152.0,0,1.0,0.0,-0.6332415402076023,0.6489586038697583,1.4658880514942365,0.0,1.0,0.0
111310,1,8.0,0,124.0,1,1.0,0.0,0.3982451940037027,-0.05469019557487041,0.24683050847497068,1.0,0.0,1.0
